CLLI,Total Generator KW,# racks,Estimated Power kW (racks x 1.74)
ABRDNCXA,100,27,47.0
ADBNIAXO,75,30,52.2
ADELGAXA,60,27,47.0
ALBIIAXO,125,13,22.6
ALBMNCXA,350,55,95.7
ALBYKYXA,115,38,66.1
ALCHFL01,,4,7.0
ALCHFLAJ,,,
ALCHFLXA,80,32,55.7
ANDRTXXA,155,46,80.0
ANWOIAXO,60,8,13.9
ASHTOHXA,300,125,217.5
ASLDKYXA,600,232,403.7
AURROHXA,150,70,121.8
BBVLKYXA,90,28,48.7
BEREKYXA,150,90,156.6
BKVLKYXA,80,16,27.8
BLKLGAXA,100,35,60.9
BLVIGABW,,2,3.5
BNBGOHXA,100,64,111.4
BRAROKXA,470,150,261.0
BRAROKXB,510,226,393.2
BRAROKXC,410,109,189.7
BRAROKXD,350,106,184.4
BRAROKXE,300,38,66.1
BRFRFLXA,100,20,34.8
BRHDKYXA,50,14,24.4
BRSDKYXA,125,41,71.3
BWFDTXXA,685,93,161.8
CAIRGAXA,125,37,64.4
CECLOHXA,,5,8.7
CETNIAXC,100,24,41.8
CHGVNCXA,350,38,66.1
CHRDOHXA,150,100,174.0
CHRTIAXC,137,32,55.7
CHTHOKXD,300,21,36.5
CHWOGAXA,200,40,69.6
CLDGTXXA,40,23,40.0
CLEVGAXA,250,124,215.8
CLHNFLXA,60,44,76.6
CLJTIAWH,90,2,3.5
CLRDIAXT,160,24,41.8
CLSTOHXA,150,24,41.8
CLVLGAXA,150,25,43.5
CMLDKYXA,80,26,45.2
CMRCGAXA,450,128,222.7
CMVLKYXA,210,85,147.9
CNTNGAXA,750,81,140.9
CNVLGAXA,100,23,40.0
CNVLIAXO,100,19,33.1
COWTOKXB,350,49,85.3
CRESIAXO,145,20,34.8
CRNLGA01,450,11,19.1
CRNLGAXA,200,77,134.0
CRSTARXA,100,36,62.6
DELTOHXA,75,26,45.2
DHLNGAXA,150,50,87.0
DLHRTXXA,,20,34.8
DLRKARXA,6,6,10.4
DLTNGAXD,250,18,31.3
DMMTTXXA,150,28,48.7
DNSNIAXO,205,21,36.5
DNVLGAXA,100,30,52.2
DUMSTXXA,150,74,128.8
DWSNGAXA,60,35,60.9
DYVLIAXO,60,26,45.2
EDWDIAXO,,4,7.0
ELYROHXA,380,159,276.7
ELYROHXB,135,52,90.5
ELYROHXD,150,16,27.8
ELYROHXE,125,33,57.4
EMBGIAXP,150,23,40.0
EVRSKYXA,50,42,73.1
FLTNGAXA,125,25,43.5
FMBGKYXA,150,69,120.1
FRCYIAXO,100,15,26.1
FRDYARXA,80,36,62.6
FRFDIAXC,135,40,69.6
FRVWOHXA,100,28,48.7
FTZGGAXA,315,92,160.1
GENVOHXA,190,25,43.5
GNBRARXA,150,64,111.4
GNFDIAAJ,,0,
GNUPKYXA,100,52,90.5
GRNLIAXC,100,84,146.2
GRQYNCXA,150,30,52.2
GRVIOHXA,100,24,41.8
HDSNOHXA,660,170,295.8
HDSNOHXB,,20,34.8
HETHOHXA,100,27,47.0
HIRMOHXA,,14,24.4
HLCRIAXP,,6,10.4
HLRDFLXA,60,30,52.2
HRSNARXA,700,81,140.9
HWSSGAXA,150,19,33.1
HZRDKYXA,250,133,231.4
IRTNGAXA,100,26,45.2
JLLYIAXE,,3,5.2
JSPRGAXA,125,22,38.3
KGVLOHXA,85,23,40.0
KNTNOHXA,125,30,52.2
KNVLIAWH,65,5,8.7
KNVLIAXC,600,79,137.5
KNVLIAXD,,5,8.7
KRVLTXXA,300,144,250.6
LAMSTXXA,60,20,34.8
LAVNGAXA,150,42,73.1
LEDSALXA,125,27,47.0
LEDSALXB,200,52,90.5
LFYTGAXA,125,37,64.4
LKCYIAXO,,9,15.7
LTFDKYXA,100,35,60.9
LTFDTXXA,250,39,67.9
LVLDTXXA,600,75,130.5
LVOKFLXA,400,123,214.0
MAYOFLXA,60,20,34.8
MCRAGAXA,60,23,40.0
MDSNOHXA,125,28,48.7
