site_id,lat,lng,name,address,apn,acres_stated,state,county,group,notes,mireye_fema_zone_2026_08_11,mireye_max_kv_10km,mireye_sub_dist_m,mireye_sub_max_kv,mireye_subs_10km,tx_nearest_m,tx_nearest_ft,tx_voltage_kv,tx_volt_class,tx_voltage_basis,tx_line_name,tx_line_id,tx_owner,tx_type,tx_status,tx_attrs_inferred,tx_100kv_nearest_m,tx_100kv_voltage_kv,tx_100kv_line_name,tx_100kv_line_id,tx_100kv_owner,sub_nearest_m,sub_nearest_name,sub_nearest_type,sub_nearest_max_kv,sub_nearest_min_kv,sub_nearest_kv_inferred,sub_nearest_lines,sub_nearest_status,sub_nearest_source,sub_nearest_id,sub_100kv_nearest_m,sub_100kv_nearest_name,sub_100kv_max_kv,sub_100kv_lines,sub_230kv_nearest_m,sub_230kv_nearest_name,sub_230kv_max_kv,sub_count_within_10km,sub_max_kv_within_10km,fema_determination,fema_flood_zone,fema_zone_subtype,fema_sfha,fema_static_bfe_ft,fema_dfirm_id,fema_firm_panel,fema_panel_effective,fema_nearest_sfha_m,fema_nearest_sfha_zone,nwi_mapping_status,nwi_image_year,nwi_project,nwi_at_point,nwi_type_at_point,nwi_code_at_point,nwi_nearest_m,nwi_nearest_type,nwi_nearest_code,nwi_nearest_acres,nwi_count_within_500m,nwi_polygon_acres_within_500m,metro_urban_area_at_point,metro_urban_area_at_point_pop,metro_250k_nearest_name,metro_250k_nearest_m,metro_250k_nearest_pop,metro_1m_nearest_name,metro_1m_nearest_m,metro_1m_nearest_pop,dc_nearest_m,dc_nearest_name,dc_nearest_city,dc_nearest_state,dc_nearest_networks,dc_nearest_peeringdb_url,dc_hub_nearest_m,dc_hub_nearest_name,dc_hub_nearest_city,dc_hub_nearest_networks,dc_count_within_25km,dc_count_within_50km,dc_max_networks_within_50km
Ashland,38.4758,-82.64385,"Ashland, Boyd Co KY",,,,,,mireye-screen,,X,69,1446.8,69,15,693.0,2274,69.0,UNDER 100,numeric,BELLEFONTE,157481,KENTUCKY POWER CO,AC; OVERHEAD,IN SERVICE,Y,2285.2,138.0,BELLEFONTE - NORTH PROCTORVILLE SUBSTATION,150356,NOT AVAILABLE,1444.9,[unnamed UNKNOWN121253],SUBSTATION,69.0,69.0,Y,2,IN SERVICE,IMAGERY,121253,3267.3,[unnamed UNKNOWN121310],138.0,1,,,,15,138.0,mapped,X,AREA OF MINIMAL FLOOD HAZARD,False,,21019C,21019C0057E,2021-01-29,210.2,AE,Digital,1983,Ashland,False,,,,,,,0,0,"Huntington, WV--KY--OH",200157,"Cincinnati, OH--KY",142384,1686744,"Cincinnati, OH--KY",142384,1686744,83554,SecureNet,South Charleston,WV,1,https://peeringdb.com/fac/14499,184028,"Cologix, Inc.",Columbus,30,0,0,0
Baldwin_GA,34.49720847,-83.54997767,Baldwin GA - 2000 Communications Blvd,,,,,,mireye-screen,,X,115,1300.6,115,10,169.0,554,115.0,100-161,numeric,TAP153139,128010,GEORGIA POWER CO,AC; OVERHEAD,IN SERVICE,Y,169.0,115.0,TAP153139,128010,GEORGIA POWER CO,1297.7,[unnamed UNKNOWN110332],SUBSTATION,115.0,115.0,Y,1,IN SERVICE,IMAGERY,110332,1297.7,[unnamed UNKNOWN110332],115.0,1,12073.6,[unnamed UNKNOWN111238],230.0,10,115.0,mapped,X,AREA OF MINIMAL FLOOD HAZARD,False,,13137C,13137C0281D,2018-01-05,744.6,AE,Digital,1982,Baldwin,False,,,121.2,Riverine,R4SBC,2.265,6,4.927,"Cornelia--Baldwin, GA",19489,"Atlanta, GA",41463,5100112,"Atlanta, GA",41463,5100112,69309,"QTS Realty Trust, Inc.",Suwanee,GA,11,https://peeringdb.com/fac/580,112115,Digital Realty,Atlanta,77,0,0,0
Northfield_OH,41.31474448,-81.53703932,Northfield OH - 54 Leonard Ave,,,,,,mireye-screen,,X,345,1090.9,absent,23,889.0,2917,345.0,345,numeric,HANNA,124280,NOT AVAILABLE,AC; OVERHEAD,IN SERVICE,Y,889.0,345.0,HANNA,124280,NOT AVAILABLE,1089.3,MACEDONIA,SUBSTATION,,,N,0,IN SERVICE,OpenStreetMap,152373,3762.6,TAP137177,138.0,3,5409.4,CHAMBERLIN,345.0,23,345.0,mapped,X,AREA OF MINIMAL FLOOD HAZARD,False,,39153C,39153C0033E,2009-07-20,,,Digital,2007,Ohio_DU_updates,False,,,288.4,Freshwater Pond,PUBG,10.467,2,12.974,"Cleveland, OH",1712178,"Cleveland, OH",0,1712178,"Cleveland, OH",0,1712178,9491,ark data centers,Independence,OH,2,https://peeringdb.com/fac/12235,24467,H5 Data Centers,Cleveland,20,15,18,20
Hudson_OH,41.21706309,-81.44250817,Hudson OH - 1300 Terex Rd,,,,,,mireye-screen,,X,138,1054.1,138,21,810.4,2659,,NOT AVAILABLE,not_published,TAP148087 - DARROW,113504,NOT AVAILABLE,OVERHEAD,IN SERVICE,N,1050.6,138.0,DARROW - HANNA,125569,NOT AVAILABLE,1050.6,DARROW,SUBSTATION,138.0,,Y,3,IN SERVICE,OpenStreetMap,152326,1050.6,DARROW,138.0,3,9906.4,CHAMBERLIN,345.0,21,345.0,mapped,X,AREA OF MINIMAL FLOOD HAZARD,False,,39153C,39153C0129F,2016-04-19,,,Digital,2007,Ohio_DU_updates,False,,,47.0,Freshwater Pond,PUBGx,1.636,10,12.865,"Cleveland, OH",1712178,"Cleveland, OH",0,1712178,"Cleveland, OH",0,1712178,15527,"Cogent Communications, Inc.",Akron,OH,1,https://peeringdb.com/fac/16443,37816,H5 Data Centers,Cleveland,20,5,21,20
Newark_OH,40.05944853,-82.40487305,Newark OH - 66 N 4th St,,,,,,mireye-screen,,X,69,928.1,absent,21,604.6,1984,69.0,UNDER 100,numeric,,159317,OHIO POWER CO,OVERHEAD,IN SERVICE,Y,3363.1,138.0,NORTH NEWARK SUBSTATION,116448,OHIO POWER CO,926.2,[unnamed UNKNOWN112977],SUBSTATION,,,N,5,IN SERVICE,OpenStreetMap,112977,3363.1,[unnamed UNKNOWN114950],138.0,6,,,,21,138.0,mapped,X,AREA OF MINIMAL FLOOD HAZARD,False,,39089C,39089C0342H,2007-05-02,471.7,AE,Digital,2007,Ohio_DU_updates,False,,,,,,,0,0,"Newark, OH",81223,"Columbus, OH",17042,1567254,"Columbus, OH",17042,1567254,46479,City of Westerville,Westerville,OH,2,https://peeringdb.com/fac/7142,51264,"Cologix, Inc.",Columbus,30,0,1,2
Riverside_TX,30.85154,-95.40012,Riverside TX - FM 980 (Walker Co),,,,,,mireye-screen,,A,138,1467.8,138,2,800.5,2626,69.0,UNDER 100,numeric,,313722,"ENTERGY TEXAS, INC.",AC; OVERHEAD,NOT AVAILABLE,N,810.9,138.0,,304605,SAM HOUSTON ELECTRIC COOP INC,1464.3,[unnamed UNKNOWN307685],SUBSTATION,138.0,69.0,Y,5,IN SERVICE,IMAGERY,307685,1464.3,[unnamed UNKNOWN307685],138.0,5,,,,2,138.0,mapped,A,,True,,48471C,48471C0275D,2011-08-16,0.0,A,Digital,1983,Riverside,False,,,18.7,Riverine,R4SBC,4.167,12,13.529,,,"The Woodlands--Conroe, TX",40248,402454,"Houston, TX",73367,5853575,58333,The Houston Bunker,Montgomery,TX,5,https://peeringdb.com/fac/10869,112354,"DataBank, Ltd.",Houston,36,0,0,0
Harrison_AR,36.214283,-93.079052,Harrison AR - 202 Graham St,,,,,,mireye-screen,,X,161,960.6,161,3,957.9,3143,161.0,100-161,numeric,,103259,ENTERGY ARKANSAS INC,AC; OVERHEAD,IN SERVICE,Y,957.9,161.0,,103259,ENTERGY ARKANSAS INC,957.9,[unnamed UNKNOWN107930],SUBSTATION,161.0,161.0,Y,4,IN SERVICE,http://www.geostor.arkansas.gov/G6/Home.html,107930,957.9,[unnamed UNKNOWN107930],161.0,4,,,,3,161.0,mapped,X,AREA OF MINIMAL FLOOD HAZARD,False,,05009C,05009C0280D,2010-11-26,,,Digital,1984,Harrison,False,,,150.8,Freshwater Pond,PUBHh,0.171,4,37.113,"Harrison, AR",13950,"Springfield, MO",86567,282651,"Memphis, TN--MS--AR",277728,1056190,102906,"OzarksGo, LLC",Fayetteville,AR,9,https://peeringdb.com/fac/5522,346435,Netrality Data Centers,Kansas City,81,0,0,0
Moultrie_GA,31.17748292,-83.78371355,Moultrie GA - 216 4th St SE,,,,,,mireye-screen,,X,115,565.6,115,15,302.7,993,115.0,100-161,numeric,TAP142756,117519,GEORGIA POWER CO,AC; OVERHEAD,IN SERVICE,Y,302.7,115.0,TAP142756,117519,GEORGIA POWER CO,564.4,[unnamed UNKNOWN116718],SUBSTATION,115.0,115.0,Y,2,IN SERVICE,IMAGERY,116718,564.4,[unnamed UNKNOWN116718],115.0,2,8102.5,[unnamed UNKNOWN111124],230.0,15,230.0,mapped,X,AREA OF MINIMAL FLOOD HAZARD,False,,13071C,13071C0191E,2023-11-02,506.8,AE,Digital,1983,Moultrie,False,,,,,,,0,0,"Moultrie, GA",19217,"Tallahassee, FL",74421,252934,"Jacksonville, FL",204492,1247374,94996,EdgeConneX Inc.,Tallahassee,FL,3,https://peeringdb.com/fac/2074,222633,"Cologix, Inc.",Jacksonville,34,0,0,0
Newton_IA,41.6983315,-93.05448565,Newton IA - 115 S 2nd Ave W,,,,,,mireye-screen,,X,161,784.2,161,4,749.6,2459,,NOT AVAILABLE,not_published,,111063,MIDAMERICAN ENERGY CO,OVERHEAD,IN SERVICE,N,757.9,161.0,JASPER,102676,MIDAMERICAN ENERGY CO,782.2,[unnamed UNKNOWN131595],SUBSTATION,161.0,,Y,3,IN SERVICE,"IMAGERY, OpenStreetMap",131595,782.2,[unnamed UNKNOWN131595],161.0,3,,,,4,161.0,mapped,X,AREA OF MINIMAL FLOOD HAZARD,False,,19099C,19099C0183D,2018-10-05,,,Digital,2002,Iowa3_DesMoines_etc...,False,,,,,,,0,0,"Newton, IA",15943,"Des Moines, IA",31992,542486,"Kansas City, MO--KS",286561,1674218,33501,LightEdge Solutions,Altoona,IA,6,https://peeringdb.com/fac/4546,244594,"1623 Farnam, LLC",Omaha,49,0,5,10
Sugar_Land_TX,29.63625224,-95.59818132,Sugar Land TX - Fort Bend Co,,,,,,mireye-screen,,X,not pulled,913.6,138,18,843.9,2769,138.0,100-161,numeric,ALIEF,306408,"CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC",AC; OVERHEAD,IN SERVICE,N,843.9,138.0,ALIEF,306408,"CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC",912.7,STAFFORD,SUBSTATION,138.0,69.0,N,1,IN SERVICE,"IMAGERY, OpenStreetMap",310288,912.7,STAFFORD,138.0,1,10885.6,JEANETTA,345.0,18,138.0,mapped,X,AREA OF MINIMAL FLOOD HAZARD,False,,48157C,48157C0165L,2014-04-02,,,Digital,1992,Alief,False,,,9.7,Freshwater Emergent Wetland,PEM1Cx,2.268,4,5.839,"Houston, TX",5853575,"Houston, TX",0,5853575,"Houston, TX",0,5853575,17495,"Data Foundry, Inc.",Houston,TX,3,https://peeringdb.com/fac/2341,23333,"DataBank, Ltd.",Houston,36,7,19,36
