site_id,lat,lng,name,address,apn,acres_stated,state,county,group,notes,asset_type,city,land_ownership,primary_use,rack_count,parcel_county,parcel_county_geoid,parcel_source_scope,parcel_service_name,parcel_apn,parcel_owner,parcel_address,parcel_acres_gis,parcel_acres_stated_by_county,parcel_acres_input,parcel_apn_matches_input,parcel_vertices,parcel_status
ABRDNCXA,35.13471956,-79.4267825499999,WNS1899,211 North Poplar Street,,,NC,,Interesting,,Building,Aberdeen,Owned,Central Office,27,Moore County,37125,county,Accela_taxparcels,857013243207,,2101 RIVERFRONT DR  #A,1.3422,0.0,,,7,ok
ADELGAXA,31.13789183,-83.4224465199999,WNS1464,106 North Parrish Avenue,,,GA,,Other,,Building,Adel,Owned,Central Office,27,Cook County,13075,,,,,,,,,,,unresolved: no registered service
ANWOIAXO,41.2891466499999,-91.5551446799999,WNS0433,240 5th Street,,,IA,,Other,,Building,Ainsworth,Owned,Central Office,8,Washington County,19183,,,,,,,,,,,unresolved: no registered service
ALCHFL01,29.80235134,-82.49220798,WNS1425,13715 West County Road 235,,,FL,,Other,,Building,Alachua,Owned,Central Office,4,Alachua County,12001,,,,,,,,,,,unresolved: no registered service
ALCHFLAJ,29.78938708,-82.4958955799999,,14600 Main Street,,,FL,,Other,,Building,Alachua,Owned,Central Office,#N/A,Alachua County,12001,,,,,,,,,,,unresolved: no registered service
ALCHFLXA,29.7894,-82.4962,WNS1426,14600 Main St,,,FL,,Other,,Building,Alachua,Owned,Central Office,32,Alachua County,12001,,,,,,,,,,,unresolved: no registered service
ALBYKYXA,36.6930220799999,-85.13449812,WNS1699,400 N Washington,,,KY,,Other,,Building,Albany,Owned,Central Office,38,Clinton County,21053,,,,,,,,,,,unresolved: no registered service
ALBMNCXA,35.3540421499999,-80.19909173,WNS1901,250 North 1st Street,,,NC,,Interesting,,Building,Albemarle,Owned,Central Office,55,Stanly County,37167,county,Parcels,654801255808,4005 NORTH RODNEY PARHAM RD,,0.8423,0.0,,,38,ok
ALBIIAXO,41.0259585599999,-92.80564617,WNS0435,202 Washington Avenue E,,,IA,,Other,,Building,Albia,Owned,Central Office,13,Monroe County,19135,,,,,,,,,,,unresolved: no registered service
ANDRTXXA,32.31761412,-102.5477171,WNS2514,112 Southwest 1st,,,TX,,Other,,Building,Andrews,Owned,Central Office,46,Andrews County,48003,,,,,,,,,,,unresolved: no registered service
ASLDKYXA,38.4758,-82.64385,WNS1701,619 15th Street,,,KY,,Interesting,,Building,Ashland,Owned,Central Office,232,Boyd County,21019,,,,,,,,,,,unresolved: no registered service
MEDSKYXA,38.4096499699999,-82.71303235,WNS1703,9216 Highway 60,,,KY,,Interesting,,Building,Ashland,Owned,Central Office,76,Boyd County,21019,,,,,,,,,,,unresolved: no registered service
ADBNIAXO,41.72127167,-94.9293833299999,WNS1601,620 LEROY,,,IA,,Other,,Building,Audubon,Owned,Central Office,30,Audubon County,19009,,,,,,,,,,,unresolved: no registered service
AURROHXA,41.31715803,-81.3465993899999,WNS2239,27 East  Garfield Road,,,OH,,Other,,Building,Aurora,Owned,Central Office,70,Portage County,39133,statewide,Ohio Statewide Parcels,03-018-10-00-036-000,,ST RT 82   AURORA 44202,0.3032,,,,10,ok
BNBGOHXA,41.3856989499999,-81.34062923,WNS1052,8425 Baindridge Road,,,OH,,Interesting,,Building,Bainbridge,Owned,Central Office,64,Geauga County,39055,statewide,Ohio Statewide Parcels,02-601000,,8425  BAINBRIDGE RD   ,0.3535,,,,4,ok
CRNLGA01,34.4972084699999,-83.54997767,WNS0048,2000 Communications Boulevard,,,GA,,Interesting,,Building,Baldwin,Owned,Central Office,11,Habersham County,13137,,,,,,,,,,,unresolved: no registered service
BBVLKYXA,36.86533403,-83.88827335,WNS1705,207 South Main Street,,,KY,,Other,,Building,Barbourville,Owned,Central Office,28,Knox County,21121,,,,,,,,,,,unresolved: no registered service
FRVWOHXA,40.0594973999999,-81.22041851,WNS2241,32699 Old National Road,,,OH,,Interesting,,Building,Barnesville,Owned,Central Office,28,Belmont County,39013,statewide,Ohio Statewide Parcels,12-90007.000,,32699 OLD NATIONAL RD  ,0.9683,,,,4,ok
BEREKYXA,37.57334353,-84.2857390799999,WNS1709,310 Center Street,,,KY,,Other,,Building,Berea,Owned,Central Office,90,Madison County,21151,,,,,,,,,,,unresolved: no registered service
SHBGKYAB,38.2426062099999,-83.87447858,,160 Old Highway 11,,,KY,,Other,,Building,BETHEL,Owned,Central Office,3,Bath County,21011,,,,,,,,,,,unresolved: no registered service
BLVIGABW,34.8640250999999,-83.9848088499999,WNS3282,40 River Road Connector,,,GA,,Interesting,,Building,Blairsville,Owned,Central Office,2,Union County,13291,,,,,,,,,,,unresolved: no registered service
BLKLGAXA,31.3825399999999,-84.957519,WNS0261,15166 River St,,,GA,,Other,,Building,Blakely,Owned,Central Office,35,Early County,13099,,,,,,,,,,,unresolved: no registered service
BRFRFLXA,29.96008262,-82.9279976299999,,108 Drane St Nw| Branford| FL| 32008,,,FL,,Other,,Building,Branford,Owned,Central Office,20,Suwannee County,12121,,,,,,,,,,,unresolved: no registered service
BRHDKYXA,37.3416834599999,-84.44990833,,4297 Highway 70,,,KY,,Other,,Building,BRODHEAD,Owned,Central Office,14,Rockcastle County,21203,,,,,,,,,,,unresolved: no registered service
BRAROKXA,36.0526137,-95.7918259599999,WNS2324,114 West Broadway,,,OK,,Other,,Building,Broken Arrow,Owned,Central Office,150,Tulsa County,40143,,,,,,,,,,,unresolved: no registered service
BRAROKXC,35.99867768,-95.7968520799999,WNS2325,5301 South Elm Place W,,,OK,,Other,,Building,Broken Arrow,Owned,Central Office,109,Tulsa County,40143,,,,,,,,,,,unresolved: no registered service
BRAROKXD,36.0896024099999,-95.7905582,WNS2327,201 East Omaha Street,,,OK,,Other,,Building,Broken Arrow,Owned,Central Office,106,Tulsa County,40143,,,,,,,,,,,unresolved: no registered service
BRAROKXE,36.0615241599999,-95.68429788,WNS2326,1025 North 84th Street,,,OK,,Other,,Building,Broken Arrow,Owned,Central Office,38,Wagoner County,40145,,,,,,,,,,,unresolved: no registered service
BKVLKYXA,38.6825019999999,-84.067487,WNS1712,202 Madison St,,,KY,,Other,,Building,Brooksville,Owned,Central Office,16,Bracken County,21023,,,,,,,,,,,unresolved: no registered service
BWFDTXXA,33.1772204099999,-102.274424499999,,101 East Tate,,,TX,,Other,,Building,Brownfield,Owned,Central Office,93,Terry County,48445,,,,,,,,,,,unresolved: no registered service
BRSDKYXA,36.98978863,-84.5993733199999,WNS1715,53 E French Ave 03,,,KY,,Other,,Building,BURNSIDE,Owned,Central Office,41,Pulaski County,21199,,,,,,,,,,,unresolved: no registered service
CAIRGAXA,30.8785318,-84.2089730499999,WNS1480,48 2nd Avenue,,,GA,,Other,,Building,Cairo,Owned,Central Office,37,Grady County,13131,,,,,,,,,,,unresolved: no registered service
CLHNFLXA,30.56435631,-81.8314212899999,WNS1430,45403 Green Avenue,,,FL,,Other,,Building,Callahan,Owned,Central Office,44,Nassau County,12089,,,,,,,,,,,unresolved: no registered service
CMVLKYXA,37.342599,-85.3439159999999,WNS1718,303 E Broadway,,,KY,,Other,,Building,Campbellsville,Owned,Central Office,85,Taylor County,21217,,,,,,,,,,,unresolved: no registered service
CNTNGAXA,34.23610953,-84.4906549899999,WNS1482,190 South Church Street,,,GA,,Interesting,,Building,Canton,Owned,Central Office,81,Cherokee County,13057,county,Property_Value_TY2024,14-0166-0003,CSL GEORGIA SYSTEM LLC,10802 EXECUTIVE CENTER DR,0.1743,1.0,,,4,ok
CECLOHXA,41.2181456499999,-84.6021258899999,WNS2243,105 North Main Street,,,OH,,Other,,Building,CECIL,Owned,Central Office,5,Paulding County,39125,statewide,Ohio Statewide Parcels,15-05S-001-00,,105  MAIN ST N   ,0.1613,,,,5,ok
CNVLIAXO,40.7322668999999,-92.8761186699999,WNS0461,236 West Maple Street,,,IA,,Other,,Building,Centerville,Owned,Central Office,19,Appanoose County,19007,,,,,,,,,,,unresolved: no registered service
CNVLGAXA,32.6234985899999,-83.6879990999999,WNS1487,109 Gunn Road,,,GA,,Other,,Building,Centerville,Owned,Central Office,23,Houston County,13153,,,,,,,,,,,unresolved: no registered service
CHRDOHXA,41.5812845399999,-81.2021328499999,WNS2244,205 South Hambden Street,,,OH,,Interesting,,Building,Chardon,Owned,Central Office,100,Geauga County,39055,statewide,Ohio Statewide Parcels,10-601300,,205 S HAMBDEN ST   ,0.1915,,,,4,ok
CHRTIAXC,41.0162491099999,-93.30642589,WNS1606,220 North Grand Chariton,,,IA,,Other,,Building,Chariton,Owned,Central Office,32,Lucas County,19117,,,,,,,,,,,unresolved: no registered service
CHWOGAXA,34.76833751,-84.76820927,WNS1488,220 North 2nd Avenue,,,GA,,Interesting,,Building,Chatsworth,Owned,Central Office,40,Murray County,13213,,,,,,,,,,,unresolved: no registered service
CHTHOKXD,35.47096122,-95.52363062,,115 Northwest 1st Street,,,OK,,Other,,Building,Checotah,Owned,Central Office,21,McIntosh County,40091,,,,,,,,,,,unresolved: no registered service
CHGVNCXA,35.55692203,-80.59588229,WNS1906,1525 South Main Street,,,NC,,Interesting,,Building,China Grove,Owned,Central Office,38,Rowan County,37159,county,Rowan Tax Parcels,163 012,,1525 S MAIN ST,0.4238,,,,17,ok
CLRDIAXT,40.7405471699999,-95.03873151,WNS1607,115 West Chestnut Street,,,IA,,Other,,Building,Clarinda,Owned,Central Office,24,Page County,19145,,,,,,,,,,,unresolved: no registered service
CLVLGAXA,34.61483837,-83.52435581,WNS1489,390 Jefferson Street,,,GA,,Interesting,,Building,Clarkesville,Owned,Central Office,25,Habersham County,13137,,,,,,,,,,,unresolved: no registered service
CLEVGAXA,34.59702662,-83.7661271599999,WNS1491,158 West Kytle Street,,,GA,,Interesting,,Building,Cleveland,Owned,Central Office,124,White County,13311,,,,,,,,,,,unresolved: no registered service
CLSTOHXA,41.3129062399999,-81.9161510299999,WNS2248,25038 Royalton Road,,,OH,,Other,,Building,Columbia Station,Owned,Central Office,24,Lorain County,39093,statewide,Ohio Statewide Parcels,1200045000043,,  ,0.2329,,,,4,ok
CLJTIAWH,41.28189291,-91.38120865,WNS3288,326 Hilltop Drive,,,IA,,Other,,Building,Columbus Junction,Owned,Central Office,2,Louisa County,19115,,,,,,,,,,,unresolved: no registered service
CMRCGAXA,34.2039764199999,-83.4594712199999,WNS1495,45 Georgia Avenue,,,GA,,Interesting,,Building,Commerce,Owned,Central Office,128,Jackson County,13157,county,Tax Parcels,C14    049,, ,0.3236,0.39,,,8,ok
CLDGTXXA,31.75403928,-96.64933392,WNS2557,102 S Second,,,TX,,Other,,Building,Coolidge,Owned,Central Office,23,Limestone County,48293,,,,,,,,,,,unresolved: no registered service
CRNLGAXA,34.5145162099999,-83.52818003,WNS3179,350 North Main Street,,,GA,,Interesting,,Building,Cornelia,Owned,Central Office,77,Habersham County,13137,,,,,,,,,,,unresolved: no registered service
