clli,address,city,county,state,lat,lng,route,direct_link,notes,acres_deeded,parcel_id,owner,other_parcels_same_owner,source_url,checked_by,date
CHWOGAXA,220 North 2nd Avenue,Chatsworth,Murray,GA,34.76834,-84.76821,qPublic,https://qpublic.schneidercorp.com/Application.aspx?AppID=756,Search Records tab; try owner search before address,,0067A073 + 0067A074,,,,,
JSPRGAXA,69 Stegall Drive,Jasper,Pickens,GA,34.46818,-84.43145,qPublic,https://qpublic.schneidercorp.com/Application.aspx?AppID=627,Search Records tab; try owner search before address,,JA07 0U2 102,,,,,
LFYTGAXA,105 Cherokee Street,LaFayette,Walker,GA,34.70665,-85.28274,qPublic,https://qpublic.schneidercorp.com/Application.aspx?AppID=695,Search Records tab; try owner search before address,,1039 108,,,,,
MONRGAXA,129 East Highland Avenue,Monroe,Walton,GA,33.79646,-83.71254,qPublic,https://qpublic.schneidercorp.com/Application.aspx?AppID=628,Search Records tab; try owner search before address,,N/A,,,,,
MONRGAXB,3375 GA-11,Monroe,Walton,GA,33.89044,-83.71992,qPublic,https://qpublic.schneidercorp.com/Application.aspx?AppID=628,Highway address - use map/coordinate rather than address search,,,,,,,
HWSSGAXA,228 North Main Street,Hiawassee,Towns,GA,34.95174,-83.75831,County assessor site,"NOT ON QPUBLIC - search ""Towns County GA Tax Assessor""",Verified absent from qPublic county list,,,,,,,
CLEVGAXA,158 West Kytle Street,Cleveland,White,GA,34.59703,-83.76613,County assessor site,"NOT ON QPUBLIC - search ""White County GA Tax Assessor""",Verified absent from qPublic county list,,,,,,,
ASLDKYXA,619 15th Street,Ashland,Boyd,KY,38.4758,-82.64385,County PVA,"Search ""Boyd County KY PVA property search""",NO KY counties on qPublic - use PVA site directly,,,,,,,
MEDSKYXA,9216 Highway 60,Ashland/Meads,Boyd,KY,38.40965,-82.71303,County PVA,"Search ""Boyd County KY PVA property search""",Highway address - use map/coordinate,,,,,,,
GNUPKYXA,304 Laurel St,Greenup,Greenup,KY,38.57342,-82.83963,County PVA,"Search ""Greenup County KY PVA property search""",NO KY counties on qPublic,,,,,,,
PECSTXXB,924 West Daggett Street,Pecos,Reeves,TX,31.40444,-103.50349,Appraisal district,"Search ""Reeves County Appraisal District property search""",No public GIS found; may need phone call,,,,,,,
DLTNGAXD,350 Cross Plains Blvd,Dalton,Whitfield,GA,34.67505,-84.96639,VERIFY ONLY,https://qpublic.schneidercorp.com/Application.aspx?AppID=1091,CONFLICT: GIS polygon 2.39 ac vs county totalacres 5.01 ac - confirm which is the site,,,,,,,
NRWDNCXA,238 North Main Street,Norwood,Stanly,NC,35.22669,-80.12266,VERIFY ONLY,Stanly County NC GIS,CONFLICT: GIS polygon 0.23 ac vs stated 0.62 ac - confirm,,,,,,,
