clli,address,tier,county,state,lat,lng,status,acres_gis,sqft_gis,m2_gis,acres_stated,parcel_id,owner,parcel_address,source,notes
WNDRGAXA,74 Woodlawn Avenue,Interesting,Barrow,GA,33.99464785000001,-83.72118785,UNRESOLVED,,,,,,,,https://qpublic.schneidercorp.com/  (search county + address),no public parcel service found (zoning layer only)
SUVLGAXA,66 West Washington Street,Top Site,Chattooga,GA,34.48152029,-85.34870994,ok,0.5211,22698,2108.7,0.51985359902,S27-009,,COX STREET,https://services9.arcgis.com/eXIsbyIncFwEzqul/arcgis/rest/services/parcels_zoning/FeatureServer/2,
CNTNGAXA,190 South Church Street,Top Site,Cherokee,GA,34.23610952999998,-84.49065499,ok,0.1743,7593,705.4,1,14-0166-0003,CSL GEORGIA SYSTEM LLC,190 S Church St,https://services6.arcgis.com/dpaY3zboICQILFY5/arcgis/rest/services/Property_Value_TY2024/FeatureServer/0,
CLVLGAXA,390 Jefferson Street,Interesting,Habersham,GA,34.61483837000001,-83.52435581,ok,0.4634,20186,1875.4,0.46,098,,,https://arcgis5.roktech.net/arcgis/rest/services/habersham/habersham_rokmaps/MapServer/8,
CRNLGA01,2000 Communications Boulevard,Top Site,Habersham,GA,34.49720847,-83.54997767,ok,26.4027,1150101,106848.0,25.27,016,,,https://arcgis5.roktech.net/arcgis/rest/services/habersham/habersham_rokmaps/MapServer/8,Mireye/Regrid reported 26.35 ac. 
CRNLGAXA,350 North Main Street,Top Site,Habersham,GA,34.51451621,-83.52818002999999,ok,1.1876,51730,4805.9,1.18,120,,,https://arcgis5.roktech.net/arcgis/rest/services/habersham/habersham_rokmaps/MapServer/8,
CMRCGAXA,45 Georgia Avenue,Interesting,Jackson,GA,34.20397641999998,-83.45947122,ok,0.3236,14096,1309.6,0.32276466,C14    049,,10802 EXECUTIVE CENTER DR,https://services8.arcgis.com/bcbi4lYRFOsss0F5/ArcGIS/rest/services/jackson_baselayers/FeatureServer/9,
DHLNGAXA,200 Boyd Circle,Top Site,Lumpkin,GA,34.53542378,-83.98251372,ok,1.4647,63803,5927.5,1.46092,D10    049,24650,P O BOX 400,https://services6.arcgis.com/BAJNi3EgCdtQ1BCG/arcgis/rest/services/Lumpkin_2025Parcels/FeatureServer/0,
CHWOGAXA,220 North 2nd Avenue,Top Site,Murray,GA,34.76833751000002,-84.76820927,UNRESOLVED,,,,,,,,https://qpublic.schneidercorp.com/  (search county + address),qPublic (Schneider) - blocks automated access
JSPRGAXA,69 Stegall Drive,Interesting,Pickens,GA,34.46817879,-84.43144500999999,UNRESOLVED,,,,,,,,https://qpublic.schneidercorp.com/  (search county + address),qPublic (Schneider) - blocks automated access
