,CLLI,State,lat,lng,nearest_tx_line_m,nearest_tx_line_ft,line_name,line_from_sub,line_to_sub,line_id,line_type,owner,status,voltage_kv,volt_class,voltage_basis,attrs_inferred,nearest_100kv_plus_m,kv_100plus,line_name_100plus,line_id_100plus,owner_100plus,source
1,ABRDNCXA,NC,35.13471956,-79.42678255,1524.4,5001,TAP147638 - TAP147639,TAP147638,TAP147639,142698,OVERHEAD,PROGRESS ENERGY CAROLINAS INC,IN SERVICE,-999999,UNDER 100,class_band,Y,13296.6,230,TAP147619 - WEST END,124218,PROGRESS ENERGY CAROLINAS INC,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
2,ADELGAXA,GA,31.13789183,-83.42244652,603.3,1979,,UNKNOWN111786,UNKNOWN111787,120960,OVERHEAD,GEORGIA POWER CO,IN SERVICE,-999999,NOT AVAILABLE,not_published,N,625.4,115,TAP142751,132212,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
3,ANWOIAXO,IA,41.28914665,-91.55514468,1031,3382,TAP140530 - SUB T,TAP140530,SUB T,126581,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,345,345,numeric,N,1031,345,TAP140530 - SUB T,126581,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
4,ALCHFL01,FL,29.80235134,-82.49220798,2709.7,8890,TAP150494 - ALACHUA,TAP150494,ALACHUA,110523,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,Y,4760,138,GE ALACHUA - TAP151115,100404,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
5,ALCHFLAJ,FL,29.78938708,-82.49589558,1260.6,4136,TAP143289 - ALACHUA,TAP143289,ALACHUA,129592,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,Y,3971.7,138,GE ALACHUA - TAP151115,100404,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
6,ALCHFLXA,FL,29.7894,-82.4962,1260.6,4136,TAP143289 - ALACHUA,TAP143289,ALACHUA,129592,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,Y,3983.9,138,GE ALACHUA - TAP151115,100404,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
7,ALBYKYXA,KY,36.69302208,-85.13449812,477.5,1567,,UNKNOWN124782,UNKNOWN124783,102992,AC; OVERHEAD,"EAST KENTUCKY POWER COOP, INC",IN SERVICE,69,UNDER 100,numeric,Y,6621.7,161,TAP155474,139950,"EAST KENTUCKY POWER COOP, INC",https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
8,ALBMNCXA,NC,35.35404215,-80.19909173,455,1493,TAP150528,UNKNOWN114426,TAP150528,112388,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,100,100-161,numeric,Y,455,100,TAP150528,112388,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
9,ALBIIAXO,IA,41.02595856,-92.80564617,4412.7,14477,LUCAS CO - OTTUMWA GENERATION STATION,LUCAS CO,OTTUMWA GENERATION STATION,106824,AC; OVERHEAD,MIDAMERICAN ENERGY CO,IN SERVICE,161,100-161,numeric,Y,4412.7,161,LUCAS CO - OTTUMWA GENERATION STATION,106824,MIDAMERICAN ENERGY CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
10,ANDRTXXA,TX,32.31761412,-102.5477171,2515.9,8254,TAP301929,TAP301929,NOT AVAILABLE,308138,AC; OVERHEAD,ONCOR ELECTRIC DELIVERY CO.,IN SERVICE,138,100-161,numeric,N,2515.9,138,TAP301929,308138,ONCOR ELECTRIC DELIVERY CO.,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
11,ASLDKYXA,KY,38.4758,-82.64385,693,2274,BELLEFONTE,UNKNOWN121253,BELLEFONTE,157481,AC; OVERHEAD,KENTUCKY POWER CO,IN SERVICE,69,UNDER 100,numeric,Y,2285.2,138,BELLEFONTE - NORTH PROCTORVILLE SUBSTATION,150356,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
12,MEDSKYXA,KY,38.40964997,-82.71303235,905.4,2970,BELLEFONTE - PRINCESS,BELLEFONTE,PRINCESS,105204,AC; OVERHEAD,KENTUCKY POWER CO,IN SERVICE,69,UNDER 100,numeric,Y,1930.5,765,BAKER - HANGING ROCK,109099,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
13,ADBNIAXO,IA,41.72127167,-94.92938333,1482.3,4863,,UNKNOWN131001,UNKNOWN168109,169313,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,Y,14423.2,161,EXIRA,144694,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
14,AURROHXA,OH,41.31715803,-81.34659939,1093.5,3588,CASE - AURORA,CASE,AURORA,110477,OVERHEAD,NOT AVAILABLE,IN SERVICE,-999999,NOT AVAILABLE,not_published,N,3804.2,345,JUNIPER - HANNA,114362,"AMERICAN TRANSMISSION SYSTEMS, INC.",https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
15,BNBGOHXA,OH,41.38569895,-81.34062923,3863.8,12677,LEROY CENTER,UNKNOWN137113,LEROY CENTER,158468,AC; OVERHEAD,"AMERICAN TRANSMISSION SYSTEMS, INC.",IN SERVICE,345,345,numeric,N,3863.8,345,LEROY CENTER,158468,"AMERICAN TRANSMISSION SYSTEMS, INC.",https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
16,CRNLGA01,GA,34.49720847,-83.54997767,169,554,TAP153139,UNKNOWN110332,TAP153139,128010,AC; OVERHEAD,GEORGIA POWER CO,IN SERVICE,115,100-161,numeric,Y,169,115,TAP153139,128010,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
17,BBVLKYXA,KY,36.86533403,-83.88827335,1120.3,3676,,UNKNOWN109489,UNKNOWN109491,141842,OVERHEAD,BARBOURVILLE UTILITY COMM,IN SERVICE,-999999,100-161,class_band,Y,2876.9,161,TAP155041,117373,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
18,FRVWOHXA,OH,40.0594974,-81.22041851,8973.4,29440,SPEIDEL - BARNESVILLE,SPEIDEL,BARNESVILLE,166848,AC; OVERHEAD,OHIO POWER CO,UNDER CONSTRUCTION,138,100-161,numeric,Y,8973.4,138,SPEIDEL - BARNESVILLE,166848,OHIO POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
19,BEREKYXA,KY,37.57334353,-84.28573908,517.7,1698,TAP155090,UNKNOWN129944,TAP155090,110267,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,69,UNDER 100,numeric,Y,4214.9,138,,139609,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
20,SHBGKYAB,KY,38.24260621,-83.87447858,8150.7,26741,,UNKNOWN109449,UNKNOWN121396,137336,AC; OVERHEAD,"EAST KENTUCKY POWER COOP, INC",IN SERVICE,345,345,numeric,Y,8150.7,345,,137336,"EAST KENTUCKY POWER COOP, INC",https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
21,BLVIGABW,GA,34.8640251,-83.98480885,1920.1,6300,YOUNGCANE - BLAIRSVILLE,YOUNGCANE,BLAIRSVILLE,140846,AC; OVERHEAD,TENNESSEE VALLEY AUTHORITY,IN SERVICE,161,100-161,numeric,N,1920.1,161,YOUNGCANE - BLAIRSVILLE,140846,TENNESSEE VALLEY AUTHORITY,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
