folder,name,lat,lng,address
Interesting Sites,PECSTXXB,31.40444183,-103.5034902,924 West Daggett Street
Interesting Sites,HWSSGAXA,34.95173821,-83.75830574,228 North Main Street
Interesting Sites,BLVIGABW,34.86402509999999,-83.98480885,40 River Road Connector
Interesting Sites,DHLNGAXA,34.53542378,-83.98251372,200 Boyd Circle
Interesting Sites,CLEVGAXA,34.59702661999999,-83.76612716,158 West Kytle Street
Interesting Sites,CLVLGAXA,34.61483837000001,-83.52435581,390 Jefferson Street
Interesting Sites,CRNLGAXA,34.51451621,-83.52818002999999,350 North Main Street
Interesting Sites,CRNLGA01,34.49720847,-83.54997767,2000 Communications Boulevard
Interesting Sites,CMRCGAXA,34.20397641999998,-83.45947122,45 Georgia Avenue
Interesting Sites,WNDRGAXA,33.99464785000001,-83.72118785,74 Woodlawn Avenue
Interesting Sites,MONRGAXB,33.89043801999999,-83.71992317,3375 GA-11
Interesting Sites,MONRGAXA,33.79645657999999,-83.71253894,129 East Highland Avenue
Interesting Sites,CNTNGAXA,34.23610952999998,-84.49065499,190 South Church Street
Interesting Sites,JSPRGAXA,34.46817879,-84.43144500999999,69 Stegall Drive
Interesting Sites,CHWOGAXA,34.76833751000002,-84.76820927,220 North 2nd Avenue
Interesting Sites,DLTNGAXD,34.67505472,-84.96638784,350 Cross Plains Blvd
Interesting Sites,LFYTGAXA,34.70665254999999,-85.28274049000001,105 Cherokee Street
Interesting Sites,SUVLGAXA,34.48152029,-85.34870994,66 West Washington Street
Interesting Sites,ABRDNCXA,35.13471956000002,-79.42678255,211 North Poplar Street
Interesting Sites,NRWDNCXA,35.22668599,-80.12266339000001,238 North Main Street
Interesting Sites,ALBMNCXA,35.35404215000001,-80.19909173000002,250 North 1st Street
Interesting Sites,GRQYNCXA,35.57201075,-80.4178416,8145 Highway 52
Interesting Sites,CHGVNCXA,35.55692202999999,-80.59588228999999,1525 South Main Street
Interesting Sites,GNUPKYXA,38.57342447000001,-82.83962673,304 Laurel St.
Interesting Sites,ASLDKYXA,38.47579999999999,-82.64385000000001,619 15th Street
Interesting Sites,MEDSKYXA,38.40964997000001,-82.71303235,9216 Highway 60
Interesting Sites,PWPNOHXA,39.86595076000002,-80.79901046,101 Ben Avenue
Interesting Sites,FRVWOHXA,40.05949739999999,-81.22041851000002,32699 Old National Road
Interesting Sites,GRVIOHXA,40.06756012,-82.51897847,131 East Broadway
Interesting Sites,NWRKOHXD,40.01356484999999,-82.40461772999998,7322 Dorsey Mill Road Southeast
Interesting Sites,NWRKOHXA,40.05944852999998,-82.40487305,66 North 4th Street
Interesting Sites,NWRKOHXC,40.05750810000003,-82.42718794,214 Neal Avenue
Interesting Sites,HETHOHXA,40.04131689,-82.44171796,1046 Harris Avenue
Interesting Sites,NWRKOHXB,40.08689351000001,-82.42710725999999,320 Deo Drive
Interesting Sites,ASHTOHXA,41.86554916,-80.78344219,4616 Park Avenue
Interesting Sites,GENVOHXA,41.80531692000002,-80.94567163,37 South Forest Street
