facility_id,facility_name,address,citytown,state,zip_code,countyparish,hospital_type,hospital_ownership,emergency_services,hospital_overall_rating,latitude,longitude,geocode_match,geocode_match_type,geocode_matched_address
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,31.21566695385,-85.361446991439,Match,Exact,"1108 ROSS CLARK CIR, DOTHAN, AL, 36301"
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,34.221221654827,-86.159366335505,Match,Non_Exact,"2505 US HWY 431, BOAZ, AL, 35957"
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,Acute Care Hospitals,Proprietary,Yes,2,34.803808001178,-87.649945372824,Match,Exact,"1701 VETERANS DR, FLORENCE, AL, 35630"
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,31.291590951497,-86.255377693357,Match,Exact,"702 N MAIN ST, OPP, AL, 36467"
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,33.590809113008,-86.668757123223,Match,Non_Exact,"50 MEDICAL PARK DR E, BIRMINGHAM, AL, 35235"
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,Acute Care Hospitals,Proprietary,Yes,2,34.439857255109,-85.755987731413,Match,Non_Exact,"200 MEDICAL CTR DR SW, FORT PAYNE, AL, 35968"
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,33.251351881816,-86.814596673788,Match,Exact,"1000 1ST ST N, ALABASTER, AL, 35007"
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,34.745888430565,-87.698972115034,Match,Exact,"1300 S MONTGOMERY AVE, SHEFFIELD, AL, 35660"
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,31.451773243105,-85.631010619762,Match,Exact,"126 HOSPITAL AVE, OZARK, AL, 36360"
010022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,Acute Care Hospitals,Proprietary,Yes,Not Available,34.162721230259,-85.65238166685,Match,Exact,"400 NORTHWOOD DR, CENTRE, AL, 35960"
