site_id,lat,lng,name,address,state,county,group,notes,city,land_ownership,asset_type,primary_use,rack_count
ABRDNCXA,35.13471956,-79.4267825499999,WNS1899,211 North Poplar Street,NC,,Interesting,,Aberdeen,Owned,Building,Central Office,27
ADELGAXA,31.13789183,-83.4224465199999,WNS1464,106 North Parrish Avenue,GA,,Other,,Adel,Owned,Building,Central Office,27
ANWOIAXO,41.2891466499999,-91.5551446799999,WNS0433,240 5th Street,IA,,Other,,Ainsworth,Owned,Building,Central Office,8
ALCHFL01,29.80235134,-82.49220798,WNS1425,13715 West County Road 235,FL,,Other,,Alachua,Owned,Building,Central Office,4
ALCHFLAJ,29.78938708,-82.4958955799999,,14600 Main Street,FL,,Other,,Alachua,Owned,Building,Central Office,#N/A
ALCHFLXA,29.7894,-82.4962,WNS1426,14600 Main St,FL,,Other,,Alachua,Owned,Building,Central Office,32
ALBYKYXA,36.6930220799999,-85.13449812,WNS1699,400 N Washington,KY,,Other,,Albany,Owned,Building,Central Office,38
ALBMNCXA,35.3540421499999,-80.19909173,WNS1901,250 North 1st Street,NC,,Interesting,,Albemarle,Owned,Building,Central Office,55
ALBIIAXO,41.0259585599999,-92.80564617,WNS0435,202 Washington Avenue E,IA,,Other,,Albia,Owned,Building,Central Office,13
ANDRTXXA,32.31761412,-102.5477171,WNS2514,112 Southwest 1st,TX,,Other,,Andrews,Owned,Building,Central Office,46
ASLDKYXA,38.4758,-82.64385,WNS1701,619 15th Street,KY,,Interesting,,Ashland,Owned,Building,Central Office,232
MEDSKYXA,38.4096499699999,-82.71303235,WNS1703,9216 Highway 60,KY,,Interesting,,Ashland,Owned,Building,Central Office,76
ADBNIAXO,41.72127167,-94.9293833299999,WNS1601,620 LEROY,IA,,Other,,Audubon,Owned,Building,Central Office,30
AURROHXA,41.31715803,-81.3465993899999,WNS2239,27 East  Garfield Road,OH,,Other,,Aurora,Owned,Building,Central Office,70
BNBGOHXA,41.3856989499999,-81.34062923,WNS1052,8425 Baindridge Road,OH,,Interesting,,Bainbridge,Owned,Building,Central Office,64
CRNLGA01,34.4972084699999,-83.54997767,WNS0048,2000 Communications Boulevard,GA,,Interesting,,Baldwin,Owned,Building,Central Office,11
BBVLKYXA,36.86533403,-83.88827335,WNS1705,207 South Main Street,KY,,Other,,Barbourville,Owned,Building,Central Office,28
FRVWOHXA,40.0594973999999,-81.22041851,WNS2241,32699 Old National Road,OH,,Interesting,,Barnesville,Owned,Building,Central Office,28
BEREKYXA,37.57334353,-84.2857390799999,WNS1709,310 Center Street,KY,,Other,,Berea,Owned,Building,Central Office,90
SHBGKYAB,38.2426062099999,-83.87447858,,160 Old Highway 11,KY,,Other,,BETHEL,Owned,Building,Central Office,3
BLVIGABW,34.8640250999999,-83.9848088499999,WNS3282,40 River Road Connector,GA,,Interesting,,Blairsville,Owned,Building,Central Office,2
BLKLGAXA,31.3825399999999,-84.957519,WNS0261,15166 River St,GA,,Other,,Blakely,Owned,Building,Central Office,35
BRFRFLXA,29.96008262,-82.9279976299999,,108 Drane St Nw| Branford| FL| 32008,FL,,Other,,Branford,Owned,Building,Central Office,20
BRHDKYXA,37.3416834599999,-84.44990833,,4297 Highway 70,KY,,Other,,BRODHEAD,Owned,Building,Central Office,14
BRAROKXA,36.0526137,-95.7918259599999,WNS2324,114 West Broadway,OK,,Other,,Broken Arrow,Owned,Building,Central Office,150
BRAROKXC,35.99867768,-95.7968520799999,WNS2325,5301 South Elm Place W,OK,,Other,,Broken Arrow,Owned,Building,Central Office,109
BRAROKXD,36.0896024099999,-95.7905582,WNS2327,201 East Omaha Street,OK,,Other,,Broken Arrow,Owned,Building,Central Office,106
BRAROKXE,36.0615241599999,-95.68429788,WNS2326,1025 North 84th Street,OK,,Other,,Broken Arrow,Owned,Building,Central Office,38
BKVLKYXA,38.6825019999999,-84.067487,WNS1712,202 Madison St,KY,,Other,,Brooksville,Owned,Building,Central Office,16
BWFDTXXA,33.1772204099999,-102.274424499999,,101 East Tate,TX,,Other,,Brownfield,Owned,Building,Central Office,93
BRSDKYXA,36.98978863,-84.5993733199999,WNS1715,53 E French Ave 03,KY,,Other,,BURNSIDE,Owned,Building,Central Office,41
CAIRGAXA,30.8785318,-84.2089730499999,WNS1480,48 2nd Avenue,GA,,Other,,Cairo,Owned,Building,Central Office,37
CLHNFLXA,30.56435631,-81.8314212899999,WNS1430,45403 Green Avenue,FL,,Other,,Callahan,Owned,Building,Central Office,44
CMVLKYXA,37.342599,-85.3439159999999,WNS1718,303 E Broadway,KY,,Other,,Campbellsville,Owned,Building,Central Office,85
CNTNGAXA,34.23610953,-84.4906549899999,WNS1482,190 South Church Street,GA,,Interesting,,Canton,Owned,Building,Central Office,81
CECLOHXA,41.2181456499999,-84.6021258899999,WNS2243,105 North Main Street,OH,,Other,,CECIL,Owned,Building,Central Office,5
CNVLIAXO,40.7322668999999,-92.8761186699999,WNS0461,236 West Maple Street,IA,,Other,,Centerville,Owned,Building,Central Office,19
CNVLGAXA,32.6234985899999,-83.6879990999999,WNS1487,109 Gunn Road,GA,,Other,,Centerville,Owned,Building,Central Office,23
CHRDOHXA,41.5812845399999,-81.2021328499999,WNS2244,205 South Hambden Street,OH,,Interesting,,Chardon,Owned,Building,Central Office,100
CHRTIAXC,41.0162491099999,-93.30642589,WNS1606,220 North Grand Chariton,IA,,Other,,Chariton,Owned,Building,Central Office,32
CHWOGAXA,34.76833751,-84.76820927,WNS1488,220 North 2nd Avenue,GA,,Interesting,,Chatsworth,Owned,Building,Central Office,40
CHTHOKXD,35.47096122,-95.52363062,,115 Northwest 1st Street,OK,,Other,,Checotah,Owned,Building,Central Office,21
CHGVNCXA,35.55692203,-80.59588229,WNS1906,1525 South Main Street,NC,,Interesting,,China Grove,Owned,Building,Central Office,38
CLRDIAXT,40.7405471699999,-95.03873151,WNS1607,115 West Chestnut Street,IA,,Other,,Clarinda,Owned,Building,Central Office,24
CLVLGAXA,34.61483837,-83.52435581,WNS1489,390 Jefferson Street,GA,,Interesting,,Clarkesville,Owned,Building,Central Office,25
CLEVGAXA,34.59702662,-83.7661271599999,WNS1491,158 West Kytle Street,GA,,Interesting,,Cleveland,Owned,Building,Central Office,124
CLSTOHXA,41.3129062399999,-81.9161510299999,WNS2248,25038 Royalton Road,OH,,Other,,Columbia Station,Owned,Building,Central Office,24
CLJTIAWH,41.28189291,-91.38120865,WNS3288,326 Hilltop Drive,IA,,Other,,Columbus Junction,Owned,Building,Central Office,2
CMRCGAXA,34.2039764199999,-83.4594712199999,WNS1495,45 Georgia Avenue,GA,,Interesting,,Commerce,Owned,Building,Central Office,128
CLDGTXXA,31.75403928,-96.64933392,WNS2557,102 S Second,TX,,Other,,Coolidge,Owned,Building,Central Office,23
CRNLGAXA,34.5145162099999,-83.52818003,WNS3179,350 North Main Street,GA,,Interesting,,Cornelia,Owned,Building,Central Office,77
COWTOKXB,35.95075827,-95.6516158099999,WNS2335,124 West Sycamore Street,OK,,Other,,Coweta,Owned,Building,Central Office,49
CRESIAXO,43.37396074,-92.1173488499999,WNS1610,118 2nd Avenue W,IA,,Other,,Cresco,Owned,Building,Central Office,20
CETNIAXC,41.0581730099999,-94.36359446,WNS0057,117 North Elm Street,IA,,Other,,Creston,Owned,Building,Central Office,24
CRSTARXA,33.1282574299999,-91.96229117,WNS1356,104 West 6th Avenue,AR,,Other,,Crossett,Owned,Building,Central Office,36
CMLDKYXA,36.9772090299999,-82.99018402,WNS1724,309 Main Street,KY,,Other,,Cumberland,Owned,Building,Central Office,26
DHLNGAXA,34.53542378,-83.98251372,WNS1498,200 Boyd Circle,GA,,Interesting,,Dahlonega,Owned,Building,Central Office,50
DLRKARXA,34.03811246,-92.88737906,WNS1358,13 Dallas 311,AR,,Other,,Dalark,Leased/Easement,Building,Central Office,6
